Anzahl von Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
100;4.036560;4.030045;4.032243;4.019512;4.022557;4.039095;4.020039;4.023870;4.017090;4.030008;4.021387;4.034003;4.576795;5.085746;4.985543;4.283598;4.038174;4.030244;4.021415;4.062330;4.064136;4.034675;4.024324;4.055448;4.016514;4.047580;4.037895;4.033735;4.022217;4.037149;4.046211;4.020390;4.038956;4.128992;4.040746;4.024233;4.010472;4.025886;4.037797;4.040588;4.016180;4.045930;4.016557;4.020414;4.162013;4.028289;4.015060;4.021350;4.036613;4.034340;4.091899
150;4.049479;4.044294;4.033501;4.033895;4.046449;4.045734;4.051339;4.027046;4.048858;4.042423;4.027215;4.021861;4.073452;4.024060;4.074197;4.030878;4.033616;4.065299;4.015673;4.053105;4.040424;4.051964;4.048418;4.032388;4.057263;4.041232;4.050359;4.044749;4.054733;4.035294;4.049039;4.018768;4.057316;4.034222;4.061450;4.039237;4.062702;4.261665;4.053474;4.052843;4.016718;4.130716;4.051192;4.039531;4.041962;4.081472;4.042643;4.016351;4.197602;4.035042;4.052863
200;4.026473;4.042151;4.026339;4.022208;4.096999;4.023419;4.019434;4.025642;4.044162;4.033960;4.029853;4.020052;4.019388;4.026422;4.015203;4.028935;4.055765;4.038472;4.055130;4.026309;4.016288;4.026412;4.026476;4.040071;4.020577;4.023684;4.029473;4.022405;4.034159;4.030138;4.016558;4.041196;4.052659;4.023343;4.028666;4.020613;4.025058;4.036430;4.045278;4.028049;4.016649;4.055692;4.019519;4.048526;4.018023;4.037142;4.025082;4.017610;4.028970;4.022530;4.031072
250;4.305189;4.028505;4.019109;4.059716;4.021251;4.018685;4.015839;4.017109;4.046454;4.019951;4.043164;4.028836;4.024575;4.018444;4.026798;4.053694;4.019682;4.022978;4.037483;4.040652;4.029131;4.025637;4.022635;4.031253;4.017172;4.034829;4.023371;4.016389;4.059821;4.018474;4.029812;4.105777;4.067585;4.041223;4.043069;4.033930;4.029911;4.028455;4.019018;4.018130;4.034740;4.023797;4.026486;4.017745;4.020855;4.038628;4.034526;4.034777;4.037678;4.036416;4.037388
300;4.025109;4.059912;4.037186;4.039564;4.034029;4.078491;4.034781;4.045456;4.050876;4.021774;4.039654;4.112642;4.077077;4.050157;4.026755;4.091562;4.058217;4.066663;4.059154;4.051894;4.094210;4.053329;4.055556;4.033287;4.047470;4.046812;4.046408;4.094320;4.038368;4.045045;4.034873;4.048799;4.046936;4.041476;4.045424;4.087840;4.069708;4.039864;4.041348;4.212232;4.051743;4.042042;4.176818;4.073538;4.033397;4.037504;4.035250;4.046159;4.046775;4.062560;4.057801
350;4.102084;4.091569;4.062429;4.085290;4.101905;4.081877;4.121670;4.064140;4.077199;4.078780;4.079466;4.062171;4.092811;4.067535;4.107531;4.090838;4.066499;4.073990;4.082062;4.081580;4.098205;4.090871;4.066848;4.042979;4.081050;4.074317;4.116156;4.092409;4.074904;4.078951;4.064908;4.079893;4.066143;4.095717;4.102280;4.078615;4.090678;4.048447;4.119350;4.067100;4.081985;4.091565;4.086666;4.073659;4.077096;4.321870;4.079721;4.079311;4.057944;4.076370;4.086549
400;4.030611;4.049153;4.027843;4.034465;4.034698;4.064436;4.184010;5.248204;5.069568;4.649714;4.040117;4.028655;4.019796;4.045856;4.030011;4.044691;4.048109;4.054884;4.024386;4.029538;4.038125;4.038668;4.027440;4.062554;4.038987;4.078829;4.033955;4.104313;4.076108;4.031383;4.057056;4.026269;4.052706;4.040228;4.036261;4.026190;4.019945;4.042199;4.038285;4.134853;4.029262;4.033044;4.024635;4.050631;4.030299;4.045707;4.028469;4.045281;4.038719;4.041322;4.102609
450;4.056785;4.046717;4.050367;4.082890;4.036876;4.100160;4.058863;4.029388;4.074039;4.039340;4.041548;4.038879;4.059370;4.037142;4.032533;4.043582;4.061555;4.044992;4.075494;4.063724;4.060346;4.049891;4.043639;4.050019;4.064064;4.064073;4.050376;4.069605;4.055505;4.063554;4.063656;4.049316;4.073761;4.053990;4.051372;4.039949;4.138001;4.046686;4.055632;4.066935;4.068035;4.046952;4.063664;4.067969;4.027797;4.057389;4.226666;4.053094;4.096187;4.057084;4.060989
500;4.062231;4.040868;4.040958;4.036265;4.064353;4.031209;4.047399;4.058747;4.041968;4.050476;4.058109;4.053692;4.060419;4.051928;4.044850;4.066311;4.049030;4.026201;4.035380;4.054281;4.030763;4.028027;4.044228;4.036438;4.031889;4.109087;4.031460;4.061417;4.029352;4.040647;4.042681;4.078139;4.038362;4.044491;4.053264;4.061399;4.030894;4.041743;4.028994;4.025736;4.033036;4.030705;4.046150;4.039419;4.054943;4.035586;4.041396;4.028422;4.043578;4.055723;4.045453
550;4.124342;4.129854;4.161740;4.125456;4.064750;4.174645;4.149179;4.142463;4.123464;4.138745;4.140542;4.118527;4.142605;4.147173;4.163358;4.124663;4.143694;4.113457;4.107216;4.141019;4.120232;4.150251;4.169239;4.135824;4.111172;4.105610;4.106592;4.148892;4.148086;4.130726;4.130623;4.145717;4.116952;4.128545;4.121196;4.148063;4.099337;4.115114;4.154310;4.061898;4.132061;4.123431;4.147575;4.156226;4.129274;4.131380;4.139266;4.137770;4.140278;4.133177;4.131914
600;4.154248;4.135549;4.122561;4.149216;4.102678;4.053531;4.099234;4.084690;4.138096;4.135250;4.129696;4.081537;4.113218;4.149339;4.122043;4.144241;4.094010;4.133134;4.138491;4.083083;4.097217;4.117372;4.159033;4.089859;4.045888;4.119265;4.121331;4.129413;4.110443;4.087064;4.137111;4.110157;4.180192;4.123093;4.117882;4.121939;4.129417;4.149166;4.086953;4.108317;4.122133;4.059595;4.397611;4.046117;4.134802;4.127614;4.110227;4.073092;4.093936;4.106155;4.119525
650;4.189169;4.169473;4.131749;4.166519;4.150375;4.108891;4.166144;4.167885;4.176166;4.180307;4.133674;4.140880;4.173655;4.136389;4.137450;4.168535;4.167635;4.174358;4.129304;4.169386;4.151256;4.149180;4.172793;4.156450;4.167968;4.163299;4.168578;4.165923;4.149357;4.166753;4.209991;4.135825;4.159892;4.148096;4.151484;4.206820;4.143976;4.148432;4.185675;4.161459;4.160620;4.153013;4.163859;4.170498;4.165878;4.179008;4.149571;4.153623;5.059071;5.184696;4.198820
700;5.116648;4.215129;4.175677;4.172222;4.196580;4.177880;4.152260;4.181421;4.196288;4.191668;4.175983;4.208890;4.165100;4.172932;4.184111;4.178813;4.207811;4.170051;4.278270;4.195871;4.175753;4.126050;4.158362;4.182454;4.201479;4.174966;4.171338;4.188036;4.153907;4.228693;4.178295;4.166766;4.181192;4.059907;4.130888;4.156560;4.191391;4.172220;4.134762;4.134511;4.164534;4.175139;4.173189;4.157470;4.189787;4.185077;4.116977;4.234371;4.167765;4.134747;4.193604
750;4.068180;4.120723;4.068602;4.064326;4.086172;4.090885;4.091363;4.088677;4.075201;4.117015;4.087344;4.116715;4.106213;4.083139;4.058020;4.103415;4.093994;4.081578;4.126310;4.099044;4.044157;4.087880;4.060099;4.074455;4.064704;4.105051;4.240493;4.111281;4.054859;4.100463;4.108825;4.127928;4.057808;4.099367;4.097515;4.073154;4.081678;4.069917;4.143388;4.090689;4.049260;4.076417;4.099383;4.070997;4.098007;4.094731;4.106946;4.117349;4.071582;4.103365;4.092173
800;4.039747;4.050449;4.039264;4.056331;4.060517;4.035195;4.035101;4.038603;4.045177;4.043500;4.049880;4.054684;4.049015;4.049757;4.049458;4.047096;4.053136;4.034925;4.041005;4.042850;4.034391;4.044818;4.042514;4.048876;4.049638;4.098813;4.042070;4.053360;4.041772;4.044729;4.035695;4.050146;4.038757;4.057535;4.043106;4.032801;4.042055;4.055754;4.044602;4.047741;4.066479;4.030732;4.047092;4.045089;4.049209;4.045743;4.045891;4.042505;4.085674;4.050173;4.047469
850;4.167126;4.154765;4.144401;4.163311;4.176062;4.183051;4.176701;4.163943;4.165070;4.142097;4.152146;4.198728;4.151676;4.160849;4.152558;4.161597;4.168354;4.146319;4.172252;4.085494;4.169607;4.171958;4.126107;4.136686;4.158907;4.145231;4.169905;4.160038;4.158052;4.165665;4.150650;4.143642;4.180906;4.082052;4.161021;4.083813;4.173986;4.159205;4.072085;4.158663;4.178882;4.166364;4.125043;4.166776;4.154451;4.156172;4.173869;4.202338;4.158423;4.158364;4.155107
900;4.062084;4.051484;4.044253;4.065675;4.042055;4.115435;4.341728;4.054280;4.083579;4.040007;4.053826;4.089011;4.042485;4.054613;4.068442;4.058757;4.037335;4.045555;4.035820;4.041578;4.047868;4.060367;4.133374;4.058695;4.039179;4.035817;4.057026;4.061357;4.095107;4.068984;4.048545;4.074915;4.066074;4.062934;4.092530;4.060464;4.083362;4.044585;4.053807;4.035305;4.048428;4.078755;4.050551;4.073937;4.053470;4.088541;4.059624;4.049772;4.066072;4.061453;4.066778
950;4.101277;4.083381;4.096426;4.087225;4.090708;4.106633;4.051091;4.100683;4.124353;4.100140;4.044530;4.082883;4.103567;4.096672;4.089895;4.047586;4.146211;4.090076;4.067335;4.075625;4.123232;4.136740;4.109887;4.096545;4.092594;4.084340;4.102450;4.090684;4.070980;4.107418;4.120178;4.063575;4.093467;4.079253;4.091072;4.100774;4.086721;4.096951;4.447193;5.028319;5.117484;4.413831;4.100399;4.041649;4.059685;4.040192;4.125040;4.090684;4.074889;4.057321;4.142597
1000;4.061409;4.054681;4.047498;4.046657;4.041470;4.041579;4.046499;4.069977;4.065758;4.162331;4.039325;4.039828;4.040344;4.045838;4.037961;4.036829;4.053240;4.042618;4.027710;4.045517;4.154957;4.038227;4.049243;4.067521;4.038880;4.037931;4.041590;4.038211;4.048727;4.054787;4.039413;4.064495;4.054411;4.075634;4.051195;4.054501;4.044457;4.040926;4.075437;4.041829;4.053248;4.039342;4.053886;4.048550;4.077761;4.053750;4.044309;4.050644;4.042189;4.036391;4.053190
2000;4.069173;4.072965;4.071452;4.084243;4.078494;4.079250;4.071954;4.071196;4.084206;4.058886;4.067321;4.111381;4.068571;4.067837;4.068940;4.053763;4.065371;4.067836;4.092865;4.177157;4.079554;4.067380;4.067816;4.067301;4.096196;4.093022;4.060181;4.078656;4.074554;4.070682;4.139639;4.058157;4.072759;4.105096;4.064148;4.063848;4.069271;4.074261;4.059081;4.072627;4.090970;4.062462;4.069667;4.070361;4.068670;4.053252;4.066089;4.085016;4.088874;4.066684;4.076783
3000;4.347213;4.342970;4.268800;4.358599;4.341771;4.342702;4.352643;4.300972;4.283844;4.329326;4.320231;4.326475;4.353966;4.334085;4.331238;4.345775;4.386611;4.355811;4.352834;4.289984;4.283121;4.323330;4.378265;4.410620;4.500319;4.335278;4.310509;4.339716;4.336704;4.319569;4.237138;4.370850;4.358869;4.363894;4.301906;4.317806;4.312695;4.344445;4.321619;4.476404;4.327315;4.347879;4.353687;4.337441;4.322530;4.330479;4.370469;4.340835;4.333206;4.292388;4.339303
4000;4.139836;4.150666;4.156774;4.180182;4.145672;4.136368;4.115442;4.133017;4.170540;4.134176;4.145517;4.143760;4.149445;4.156377;4.161607;4.155887;4.158533;4.147229;4.149343;4.119143;4.142087;4.142211;4.128336;4.144161;4.135049;4.140997;4.138015;4.147689;4.108236;4.119765;4.130860;4.127962;4.214013;4.136436;4.116487;4.124138;4.161134;4.163953;4.127067;4.122871;4.132621;4.145269;4.119241;4.119431;4.126039;4.158983;4.125972;4.175641;4.136460;4.134470;4.141902
5000;4.177951;4.173906;4.171675;4.183204;4.188214;4.176624;4.189482;4.172993;4.174100;4.166579;4.179743;4.279978;4.188234;4.196913;4.184699;4.182200;4.191383;4.194123;4.175699;4.179146;4.170438;4.150427;4.174852;4.165992;4.210962;4.166530;4.170377;4.167663;4.185291;4.198194;4.171881;4.171692;4.168140;4.204090;4.157615;4.179009;5.897373;5.693987;5.196548;5.035745;5.035185;4.817437;4.686022;4.254482;4.236705;4.251723;4.226692;4.223390;4.229493;4.218665;4.330869
6000;5.218093;5.262085;5.214800;5.209131;5.226900;5.129852;5.602986;5.712880;5.895166;5.970681;5.972026;5.799510;5.938951;5.852015;5.831001;5.076875;5.311203;5.173759;6.152788;5.939020;5.545045;5.226196;5.046753;5.031164;5.155839;5.141481;5.178594;5.204734;5.180393;5.070705;5.115410;5.083064;5.065403;5.193847;5.269662;5.092857;5.155764;5.092644;5.118980;5.196814;5.122680;5.171790;5.112658;5.258368;5.114286;5.112104;5.138644;5.123252;5.159450;5.196978;5.323306
7000;4.756980;4.747221;4.781582;4.714369;4.737522;4.762907;4.752942;4.761022;4.694860;4.689240;4.746931;4.752995;4.717931;4.790018;4.648061;4.741863;4.784419;4.777497;4.757577;4.768713;4.672551;4.750754;4.755280;4.733721;4.755408;4.684357;4.771513;4.597367;4.727373;4.736962;4.689556;4.713264;4.720604;4.739230;4.903692;4.721892;4.730460;4.779348;4.735200;4.753632;4.703727;4.782778;4.698428;4.744956;4.804793;4.755071;4.740905;4.770820;4.787956;4.760075;4.742126
8000;5.298901;5.160796;5.227727;5.258382;5.211709;5.269962;5.219302;5.258097;5.269339;5.235493;5.227398;5.264600;5.204898;5.216649;5.259222;5.183916;5.226491;5.259735;5.289028;5.243587;5.252654;5.216366;5.248319;5.280508;5.196521;5.223163;5.252979;5.288727;5.215668;5.263360;5.264042;5.224539;5.282413;5.291774;5.231614;5.206424;5.210154;5.160818;5.252929;5.257916;5.197282;5.252280;5.236551;5.243270;5.253186;5.256259;5.271760;5.295447;5.293437;5.267252;5.243457
9000;4.626443;4.563890;4.614558;4.596721;4.617856;4.622207;4.644240;4.613153;4.609016;4.611368;4.620716;4.612476;4.680343;4.594408;4.608120;4.632923;4.603571;4.593558;4.595516;4.637823;4.598763;4.654984;4.604080;4.534306;4.594895;4.572789;4.527811;4.597141;4.638294;4.607821;4.639307;4.600060;4.601539;4.632605;4.658720;4.642173;4.650712;4.628417;4.488596;4.583812;4.615097;4.597778;4.639640;4.647926;4.644580;4.614914;4.621072;4.539835;4.637212;4.600579;4.610287
10000;4.366763;4.400292;4.365028;4.378070;4.377725;4.398588;4.372647;4.459646;4.437697;4.352282;4.386982;4.405218;4.342038;4.430637;4.412187;4.666412;4.324396;4.382564;4.401516;4.406487;4.359786;4.375048;4.382363;4.377133;4.385252;4.390231;4.369650;4.355808;4.378229;4.381421;4.384601;4.377030;4.446621;4.371571;4.414799;4.364202;4.389699;4.371814;4.383899;4.371242;4.422336;4.362998;4.372233;4.399321;4.393690;4.393777;4.371762;4.348968;4.363980;4.409217;4.390717
11000;4.704332;4.729403;4.779503;4.751348;4.717795;4.724923;4.764093;4.688243;4.759943;4.708829;4.711846;4.711549;4.701882;4.671612;4.716559;4.718034;4.774050;6.004779;5.900560;4.999858;4.620417;4.706951;4.740192;4.755661;4.783977;4.693644;4.742139;4.651991;4.629308;4.732958;4.705415;4.722162;4.682663;4.712547;4.861556;4.711378;4.744300;4.721530;4.685088;4.746425;4.750306;4.718859;4.735457;4.707452;4.856215;4.714042;4.741452;4.725873;4.729825;4.661800;4.778614
12000;5.508008;5.429342;5.488857;5.392186;5.457823;5.421866;5.469256;5.353184;5.542599;5.419082;5.487543;5.457730;5.480764;5.447038;5.417061;5.470418;5.462768;5.470623;5.375725;5.504133;5.446239;5.435590;5.475371;5.432687;5.438978;5.503310;5.476306;5.392419;5.413043;5.429325;5.464732;5.558164;5.472523;5.379255;5.456851;5.502550;5.387579;5.460854;5.369335;5.451939;5.503287;5.464294;5.468118;5.423303;5.481057;5.477393;5.522103;5.462707;5.456218;5.260302;5.450437
13000;6.538098;6.579281;6.619606;6.616912;6.440529;6.409679;6.428886;6.605006;6.413855;6.638617;6.462603;6.653570;6.643552;6.620526;6.611336;6.638133;6.458527;6.622007;6.655968;6.625106;6.628395;6.621509;6.610822;6.599885;6.653252;6.596849;6.567148;6.605083;6.586887;6.674339;6.599760;6.591616;6.588741;6.451633;6.592376;6.595313;6.621530;6.615442;6.572804;6.652448;6.591749;6.621069;6.571289;6.425365;6.599938;6.627443;6.574696;6.616681;6.423336;6.622863;6.579641
