Anzahl von OpenMP-Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
650;3.340017;3.450978;3.446363;3.348255;3.435119;3.443372;3.355656;3.496307;3.413954;3.347116;3.445112;3.430340;3.331992;3.431756;3.355244;3.437125;3.423140;3.342517;3.427311;3.439474;3.339097;3.447627;3.435226;3.345387;3.426086;3.430273;3.348008;3.453674;3.455827;3.361863;3.426418;3.447092;3.350131;3.419692;3.378514;3.399806;3.465399;3.370208;3.451810;3.441736;3.337441;3.431513;3.459119;3.344047;3.431377;3.436017;3.350133;3.433917;3.416107;3.345571;3.406405
700;3.438567;3.442549;3.337839;3.426298;3.431710;3.360978;3.420923;3.348468;3.425927;3.450362;3.336535;3.438947;3.441564;3.364702;3.419234;3.412817;3.345773;3.432057;3.432816;3.338442;3.430126;3.426034;3.352853;3.428063;3.410894;3.355862;3.427574;3.691287;3.422705;3.443719;3.391710;3.451405;3.493737;3.351761;3.426866;3.437705;3.349385;3.450637;3.429647;3.346121;3.445940;3.443538;3.336788;3.446652;3.576298;3.360972;3.414579;3.435509;3.337446;3.436708;3.415981
750;3.424914;3.352639;3.459313;3.399279;3.389340;3.436034;3.341951;3.447714;3.422786;3.352125;3.427404;3.427159;3.326064;3.425469;3.442631;3.344420;3.435326;3.454014;3.354276;3.449613;3.430366;3.363351;3.443578;3.459131;3.346307;3.450172;3.350980;3.426441;3.428583;3.356555;3.445746;3.447709;3.349037;3.441352;3.449930;3.343619;3.417205;3.432936;3.348549;3.438554;3.447170;3.337568;3.440711;3.440153;3.333209;3.450911;3.350537;3.428543;3.425125;3.348526;3.405701
800;3.449475;3.479838;3.337052;3.425405;3.429307;3.373486;3.431895;3.429724;3.352994;3.446523;3.449332;3.344046;3.432877;3.431501;3.330590;3.436785;3.422696;3.414767;3.429332;3.374373;3.461667;3.433407;3.349567;3.431611;3.428262;3.335656;3.437650;3.434214;3.349814;3.421953;3.423492;3.389749;3.442016;3.423008;3.331993;3.436701;3.436655;3.355267;3.422819;3.339686;3.444238;3.440866;3.341225;3.432887;3.468954;3.347344;3.450065;3.445872;3.346701;3.428204;3.409071
850;3.423368;3.352382;3.428856;3.421599;3.352901;3.463199;3.428296;3.347327;3.424139;3.381042;3.405929;3.462636;3.331445;3.449127;3.431194;3.344933;3.438259;3.427534;3.354955;3.436455;3.426694;3.344363;3.460212;3.453806;3.334853;3.433076;3.431987;3.352363;3.423820;3.410790;3.354779;3.448897;3.332461;3.453949;3.432231;3.352478;3.423341;3.440770;3.344622;3.423072;3.434087;3.339825;3.441754;3.429522;3.335579;3.438978;3.447192;3.345073;3.428825;3.456192;3.405623
900;3.359706;3.442686;3.331387;3.447636;4.001096;4.328062;4.078991;3.755157;3.442924;3.450327;3.359960;3.436547;3.350473;3.425755;3.444497;3.361543;3.445451;3.437592;3.344353;3.561965;3.424114;3.416332;3.430709;3.424341;3.345177;3.444926;3.427171;3.344861;3.414365;3.468775;3.356205;3.441481;3.419531;3.365731;3.430080;3.338734;3.428113;3.431476;3.353985;3.425097;3.418756;3.339907;3.565059;3.469952;3.345030;3.446521;3.441944;3.349154;3.452301;3.436823;3.464055
950;3.342120;3.445783;3.444854;3.348710;3.431391;3.429747;3.340314;3.422816;3.343411;3.434289;3.447758;3.360330;3.433901;3.441979;3.346120;3.432749;3.429344;3.346781;3.434585;3.452179;3.356595;3.428844;3.439405;3.348452;3.432292;3.427867;3.325755;3.444603;3.368845;3.417913;3.427236;3.339838;3.448069;3.435235;3.344633;3.432314;3.458704;3.340969;3.415375;3.675928;3.415622;3.454152;3.470295;3.344648;3.461998;3.448135;3.351306;3.443805;3.443284;3.342074;3.411867
1000;3.422827;3.446047;3.344698;3.424949;3.352944;3.483349;3.473297;3.352693;3.442057;3.428608;3.343998;3.429203;3.430062;3.358002;3.431543;3.436445;3.341504;3.437278;3.430823;3.342716;3.438970;3.457961;3.354107;3.447411;3.423436;3.354576;3.444743;3.372882;3.427562;3.428030;3.385452;3.448008;3.434345;3.336960;3.442721;3.433267;3.377745;3.422693;3.437702;3.367128;3.421987;3.445053;3.344720;3.431130;3.435416;3.341988;3.446137;3.426665;3.364264;3.439599;3.409714
2000;3.400765;3.472609;3.438593;3.370534;3.447392;3.447145;3.362344;3.474018;3.449234;3.354269;3.426434;3.445124;3.353510;3.445761;3.434959;3.354730;3.435295;3.449168;3.340226;3.442995;3.429311;3.363205;3.451556;3.364867;3.434348;3.442919;3.337152;3.472862;3.453609;3.387974;3.442793;3.446342;3.375545;3.455720;3.427248;3.354320;3.448649;3.436941;3.361652;3.432041;3.443831;3.349629;3.460286;3.445666;3.461696;3.452261;3.427501;3.353849;3.440391;3.351238;3.417010
3000;3.487657;3.488303;3.358095;3.436639;3.436430;3.362622;3.435789;3.452559;3.361852;3.455739;3.456277;3.360321;3.447107;3.441425;3.382058;3.435979;3.429062;3.369557;3.479549;3.457087;3.359074;3.461928;3.497913;3.403879;3.443759;3.406506;3.385089;3.465173;3.386176;3.454535;3.442993;3.378067;3.446980;3.450957;3.368334;3.463534;3.456554;3.368336;3.460450;3.444360;3.359766;3.445188;3.458709;3.368568;3.432702;3.813955;3.387658;3.474919;3.452723;3.414880;3.433755
4000;3.539843;3.477877;3.348272;3.493832;3.467661;3.411803;3.462580;3.474245;3.381078;3.473117;3.444504;3.368005;3.484184;3.421603;3.398228;3.463643;3.374183;3.479819;3.445873;3.367630;3.459943;3.475198;3.366221;3.470816;3.461769;3.365022;3.458024;3.447343;3.387241;3.456747;3.499215;3.381915;3.458143;3.464152;3.355626;3.459406;3.468259;3.378055;3.464521;3.496686;3.372044;3.472747;3.451649;3.390324;3.468185;3.398047;3.446975;3.482706;3.373384;3.460170;3.437370
5000;3.506791;3.379795;3.467618;3.483873;3.377080;3.494873;3.501029;3.396560;3.465855;3.469401;3.423579;3.466727;3.469599;3.403278;3.481714;3.463989;3.371545;3.474422;3.478471;3.390870;3.453065;3.472319;3.375492;3.490384;3.461337;3.390201;3.474377;3.466020;3.362265;3.492407;3.476449;3.384215;3.473242;3.463074;3.395599;3.477433;3.393507;3.427035;3.474302;3.394719;3.455868;3.491081;3.373353;3.496038;3.464526;3.381991;3.467519;3.469777;3.381409;3.487240;3.444666
6000;3.800816;3.618289;4.073814;4.306127;4.233181;3.867410;3.432931;3.526432;3.496455;3.395575;3.479034;3.489980;3.393446;3.484810;3.491318;3.379497;3.517112;3.605356;3.399425;3.527792;3.473318;3.395568;3.498463;3.466991;3.386313;3.488871;3.451321;3.405601;3.482286;3.398524;3.489508;3.485277;3.381472;3.488958;3.484153;3.410897;3.481289;3.479185;3.406093;3.569408;3.470269;3.408090;3.504178;3.481094;3.393529;3.478107;3.513740;3.366200;3.474093;3.503040;3.524693
7000;3.801458;3.509031;3.494307;3.399345;3.515830;3.468849;3.415158;3.478994;3.494322;3.434429;3.502432;3.515538;3.401996;3.474462;3.478196;3.409299;3.486009;3.483507;3.423515;3.494158;3.478563;3.402619;3.479329;3.503553;3.397772;3.489184;3.487506;3.439942;3.486416;3.494661;3.401572;3.490082;3.478700;3.396041;3.503631;3.487971;3.408763;3.476146;3.494164;3.439880;3.490036;3.458961;3.430792;3.485631;3.495021;3.405698;3.481518;3.495620;3.399987;3.466940;3.470551
8000;3.876975;3.421873;3.507163;3.509617;3.419316;3.508390;3.503623;3.407184;3.527056;3.503389;3.407170;3.537687;3.530335;3.412101;3.484161;3.490827;3.406186;3.502013;3.496652;3.407715;3.512771;3.491242;3.409802;3.498970;3.506842;3.409980;3.500187;3.495457;3.444631;3.519276;3.520583;3.395973;3.526651;3.491457;3.434823;3.497266;3.478243;3.448077;3.472557;3.524409;3.422399;3.494633;3.475458;3.408180;3.495259;3.429468;3.478449;3.490180;3.411516;3.491466;3.480713
9000;3.849582;3.490677;3.439557;3.493620;3.534154;3.396670;3.529358;3.508892;3.425490;3.493298;3.517425;3.426667;3.510439;3.517770;3.414174;3.499712;3.491548;3.414638;3.514600;3.439641;3.453958;3.487923;3.439376;3.497769;3.523942;3.449546;3.499011;3.509156;3.408491;3.494926;3.517971;3.426848;3.513510;3.501048;3.432445;3.507183;3.511670;3.399829;3.505962;3.613001;3.417705;3.495291;3.520392;3.422201;3.507582;3.496450;3.418487;3.509210;3.536695;3.404169;3.486593
10000;3.830466;3.498652;3.475107;3.446744;3.526526;3.427933;3.520892;3.503319;3.432965;3.535308;3.512596;3.409408;3.516752;3.529131;3.440780;3.503627;3.517109;3.460578;3.515662;3.473427;3.436924;3.525665;3.509798;3.420696;3.529248;3.524037;3.434174;3.497406;3.518570;3.424722;3.513386;3.500678;3.433745;3.529379;3.518268;3.421869;3.524841;3.535050;3.428603;3.510477;3.517769;3.447305;3.518279;3.499466;3.431785;3.526382;3.563715;3.373541;3.558280;3.538704;3.495795
11000;3.891796;3.430087;3.532092;3.524361;3.442195;3.529380;3.512552;3.985334;3.574477;3.534054;3.466053;3.527362;3.563739;3.458383;3.513293;3.519575;3.459715;3.517623;3.488437;3.463081;3.516251;3.545558;3.434120;3.499083;3.530803;3.457152;3.520108;3.505975;3.437240;3.538684;3.514541;3.419959;3.537654;3.518000;3.468976;3.521277;3.529733;3.444096;3.526587;3.529607;3.437986;3.536172;3.498316;3.468091;3.526990;3.541476;3.440922;3.529810;3.525700;3.460294;3.517895
