Anzahl von OpenMP-Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
16;3.520105;3.595687;3.619609;3.495785;3.532378;3.546854;3.473077;3.474293;3.661375;3.491891;3.517874;3.519975;3.580807;3.736486;3.582971;3.411358;3.563752;3.645229;3.564639;3.588666;3.634828;3.592004;3.581643;3.634762;3.619344;3.395805;3.576220;3.597275;3.525483;3.532977;3.451413;3.619838;3.559243;3.546841;3.455583;3.539390;3.438285;3.585748;3.573390;3.616421;3.481757;3.556733;3.578719;3.622275;3.503253;3.547112;3.508508;3.546690;3.509775;3.556468;3.552212
18;3.536334;3.491350;3.412391;3.598331;3.477697;3.628078;3.499086;3.559163;3.550552;3.449088;3.580401;3.528784;3.368546;3.613473;3.475892;3.634026;3.510013;3.531402;3.475973;3.526025;3.622870;3.513632;3.521836;3.658571;3.528016;3.488064;3.593770;3.434459;3.528568;3.513007;3.408407;3.589739;3.569570;3.414440;3.580263;3.547728;3.482474;3.506805;3.564103;3.515267;3.629257;3.551209;3.455180;3.545652;3.521314;3.429038;3.540942;3.578918;3.543722;3.524894;3.526966
20;3.577151;3.421399;3.458593;3.553942;3.424020;3.460492;3.589573;3.624766;3.354479;3.662742;3.492913;3.482103;3.513064;3.512277;3.464704;3.507722;3.515248;3.484706;3.555967;3.586335;3.420144;3.601355;3.516200;3.453434;3.437030;3.582760;3.547460;3.489265;3.558913;3.440049;3.562316;3.638435;3.561271;3.554771;3.586466;3.434211;3.534477;3.612503;3.493946;3.563042;3.726065;3.465031;3.554118;3.516432;3.586916;3.496736;3.531652;3.509248;3.418179;3.580711;3.524307
22;3.448953;3.474771;3.493620;3.592387;3.382365;3.549593;3.497545;3.436053;3.502351;3.536954;3.373826;3.520324;3.466636;3.473249;3.556200;3.485511;3.398280;3.662985;3.505197;3.386303;3.518271;3.512910;3.444680;3.564664;3.502740;3.488679;3.534498;3.581629;3.432044;3.493800;3.452662;3.399621;3.517811;3.559389;3.493206;3.486467;3.585005;3.425389;3.544312;3.570702;3.491366;3.582916;3.503534;3.456230;3.491744;3.463848;3.407636;3.509759;3.543176;3.432068;3.494677
24;3.542431;3.521112;3.434729;3.473150;3.542732;3.482180;3.506986;3.464127;3.418557;3.472636;3.577147;3.402948;3.574112;3.514648;3.367509;3.502434;3.520421;3.409646;3.466001;3.515803;3.412895;3.558948;3.540389;3.394929;3.751069;3.665602;3.467258;3.552714;3.531806;3.399205;3.457402;3.455390;3.451653;3.517847;3.484148;3.413320;3.483661;3.430513;3.459032;3.464509;3.424622;3.401343;3.475998;3.525087;3.437382;3.530887;3.506171;3.398304;3.475310;3.512533;3.485785
26;3.385549;3.477860;3.550178;3.430877;3.483123;3.472316;3.396269;3.479624;3.455727;3.437730;3.542013;3.481602;3.413206;3.500803;3.424341;3.492175;3.497302;3.478085;3.478183;3.509227;3.523962;3.391509;3.430394;3.450763;3.525820;3.459631;3.349686;3.510448;3.510370;3.367454;3.493851;3.431328;3.406375;3.539157;3.629128;3.388357;3.482278;3.513796;3.366861;3.506277;3.451387;3.375759;3.479978;3.500499;3.393353;3.455732;3.457433;3.375017;3.499777;3.482211;3.462696
28;3.352530;3.552125;3.462695;3.448231;3.494216;3.498494;3.405274;3.550876;3.490441;3.489336;3.475960;3.630788;4.298939;4.039510;4.146807;3.812538;3.444072;3.501851;3.473459;3.435983;3.473460;3.549013;3.365428;3.433901;3.560855;3.402078;3.525105;3.455868;3.423101;3.532475;3.502923;3.422849;3.505320;3.511869;3.399376;3.450939;3.492572;3.404635;3.527806;3.463847;3.424303;3.555202;3.514310;3.377338;3.547149;3.543628;3.372162;3.470135;3.519546;3.476082;3.524148
30;3.466947;3.446041;3.405129;3.500127;3.496845;3.396380;3.488008;3.490545;3.392854;3.494017;3.492878;3.407782;3.495645;3.472429;3.415363;3.533535;3.509268;3.395290;3.477961;3.488191;3.380859;3.446400;3.539649;3.387009;3.532955;3.435008;3.407650;3.506782;3.475729;3.377467;3.442198;3.479419;3.432690;3.543098;3.413466;3.419218;3.558867;3.375195;3.450642;3.468449;3.394473;3.488762;3.488860;3.405109;3.528410;3.482792;3.425968;3.551700;3.511545;3.391700;3.460146
32;3.458982;3.503862;3.359183;3.452791;3.460831;3.365906;3.461600;3.446929;3.365744;3.503399;3.465462;3.402859;3.486748;3.453982;3.363259;3.536013;3.511233;3.352728;3.438615;3.506722;3.391813;3.491885;3.460794;3.383002;3.460548;3.438881;3.417265;3.489683;3.483893;3.432577;3.484669;3.455281;3.401682;3.479966;3.427615;3.489008;3.487447;3.412982;3.488038;3.468427;3.421751;3.514484;3.476175;3.413543;3.493703;3.463835;3.384872;3.442595;3.470179;3.360421;3.447677
34;3.464774;3.449674;3.407832;3.450781;3.483820;3.371327;3.514476;3.454394;3.372813;3.429398;3.447447;3.408675;3.492618;3.474297;3.362564;3.468576;3.526444;3.375226;3.483268;3.476385;3.402652;3.461510;3.441824;3.391833;3.504909;3.366340;3.449285;3.449380;3.360683;3.508574;3.510496;3.365070;3.504533;3.752819;3.390696;3.485357;3.501472;3.378144;3.513278;3.502374;3.414355;3.430080;3.442976;3.409252;3.523033;3.462484;3.440760;3.641951;3.477273;3.348109;3.454926
36;3.431570;3.501061;3.373721;3.533656;3.466280;3.375304;3.458814;3.465298;3.403231;3.498328;3.513014;3.346647;3.442496;3.446966;3.434933;3.507265;3.485046;3.351989;3.509162;3.444462;3.379733;3.472806;3.480546;3.407071;3.477561;3.451341;3.348085;3.496713;3.379298;3.472533;3.447729;3.384481;3.457320;3.499226;3.419858;3.438395;3.482171;3.411426;3.472922;3.456351;3.385621;3.452660;3.436211;3.346977;3.487019;3.441488;3.353842;3.427864;3.447909;3.409298;3.440274
38;3.472797;3.424827;3.366193;3.472162;3.486914;3.368923;3.482747;3.489672;3.393610;3.487651;3.442207;3.418809;3.456846;3.335113;3.527615;3.483694;3.410181;3.468260;3.482620;3.383121;3.481453;3.455794;3.404784;3.484552;3.464353;3.404060;3.453547;3.469596;3.347556;3.460405;3.469154;3.398327;3.432286;3.473905;3.375870;3.487421;3.482613;3.351912;3.476867;3.473092;3.359838;3.456848;3.452538;3.382540;3.479344;3.432858;3.414732;3.465457;3.382129;3.438215;3.439320
40;3.456164;3.387201;3.496441;3.449754;3.346383;3.467451;3.471820;3.362777;3.495368;3.455821;3.393080;3.488515;3.443876;3.370488;3.524784;3.466736;3.386871;3.461407;3.462602;3.387696;3.471176;3.468841;3.368288;3.440589;3.454700;3.360991;3.452177;3.444153;3.387149;3.487781;3.399895;3.457976;3.436684;3.397239;3.483411;3.436574;3.393411;3.436461;3.435985;3.379368;3.457985;3.449217;3.372351;3.478278;3.447031;3.405310;3.439928;3.456960;3.384807;3.477858;3.434756
42;3.503667;3.368934;3.440440;3.470019;3.382588;3.449247;3.477972;3.663112;4.351312;4.122155;4.325453;3.400728;3.501905;3.461367;3.383319;3.469678;3.464819;3.386276;3.512191;3.431236;3.411072;3.564774;3.451212;3.342098;3.444352;3.508116;3.371624;3.451030;3.455192;3.364713;3.453628;3.365511;3.427738;3.465276;3.371907;3.438584;3.483829;3.378420;3.486980;3.465399;3.368461;3.485715;3.475089;3.348838;3.505893;3.598383;3.401217;3.478345;3.475992;3.407325;3.496263
44;3.520973;3.487982;3.385411;3.493663;3.490195;3.372189;3.463094;3.453387;3.398840;3.441258;3.449588;3.412536;3.486364;3.438378;3.392467;3.480926;3.457529;3.366691;3.426948;3.394494;3.400299;3.483406;3.386413;3.489343;3.430997;3.346150;3.434437;3.479741;3.379103;3.433768;3.467709;3.379386;3.459638;3.429532;3.396701;3.435889;3.454234;3.345516;3.458285;3.428832;3.384827;3.526915;3.572987;3.560590;3.496270;3.449986;3.365444;3.491975;3.454562;3.369377;3.440104
46;3.456203;3.434803;3.386697;3.421937;3.369341;3.459531;3.469737;3.351376;3.484789;3.440923;3.375781;3.471494;3.435321;3.380514;3.474871;3.451092;3.366029;3.468308;3.465503;3.328895;3.460446;3.444715;3.371437;3.450163;3.447643;3.368650;3.459588;3.433890;3.369368;3.470412;3.425890;3.382006;3.432015;3.377356;3.448863;3.422998;3.355610;3.463057;3.481253;3.372712;3.467203;3.434169;3.360758;3.457488;3.479375;3.366659;3.458120;3.467480;3.375872;3.504993;3.426067
48;3.478517;3.423781;3.514570;3.527569;3.425043;3.480318;3.456090;3.408633;3.526612;3.493777;3.408626;3.537595;3.508231;3.437876;3.504777;3.485903;3.418023;3.484458;3.492825;3.427590;3.525085;3.492078;3.425488;3.503910;3.502764;3.339768;3.456243;3.402229;3.429569;3.419461;3.398029;3.491549;3.450199;3.368728;3.478762;3.446099;3.357870;3.447222;3.472410;3.362567;3.542221;3.437850;3.347840;3.444538;3.469915;3.433420;3.433407;3.437275;3.356130;3.417604;3.450621
50;3.465969;3.376679;3.463297;3.445586;3.362224;3.459682;3.407139;3.397451;3.456289;3.404032;3.448967;3.456974;3.403604;3.464695;3.482717;3.324835;3.468593;3.477611;3.367331;3.490697;3.485949;3.370333;3.523563;3.499784;3.363378;3.519389;3.474229;3.421918;3.489714;3.483552;3.508038;3.470591;3.528730;3.462656;3.493222;3.510356;3.392802;3.466474;3.535153;3.409666;3.499982;3.530590;3.451028;3.510231;3.495363;3.382910;3.470451;3.488644;3.453927;3.482517;3.455990
100;3.482424;3.387252;3.506175;3.508450;3.400197;3.493245;3.476926;3.382120;3.499508;3.470547;3.392777;3.482248;3.468950;3.395508;3.470942;3.454250;3.394195;3.432140;3.399542;3.426176;3.441197;3.343851;3.430314;3.429930;3.370225;3.449463;3.443942;3.346635;3.431063;3.437460;3.363536;3.444762;3.425869;3.351290;3.420829;3.427494;3.358978;3.420746;3.359796;3.454165;3.437068;3.349345;3.457798;3.433331;3.340326;3.430943;3.430934;3.344934;3.440880;3.426279;3.423339
