Anzahl von Prozessen;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
400;3.469956;3.479302;3.374937;3.521108;3.502337;3.400971;3.516316;3.497942;3.377607;3.508863;3.479199;3.404488;3.508026;3.482060;3.358477;3.446667;3.448450;3.364646;3.466687;3.449291;3.350536;3.458309;3.359439;3.455299;3.437172;3.364481;3.444065;3.442061;3.349154;3.447452;3.466070;3.354670;3.434741;3.441655;3.370072;3.445934;3.426851;3.355214;3.459676;3.466619;3.360428;3.441041;3.439991;3.360573;3.437230;3.370967;3.443861;3.453614;3.362819;3.447057;3.430088
450;3.466079;3.402817;3.460896;3.450276;3.379363;3.464718;3.484024;3.353597;3.449851;3.463538;3.367762;3.470056;3.496344;3.385954;3.454365;3.474674;3.362879;3.470824;3.456096;3.379905;3.460110;3.462336;3.362890;3.453638;3.470764;3.405749;3.469987;3.380917;3.459976;3.456844;3.365263;3.455075;3.475363;3.404742;3.433237;3.459361;3.360457;3.466123;3.445086;3.387450;3.471058;3.459347;3.362445;3.474723;3.459383;3.371929;3.449139;3.442843;3.455997;3.469453;3.434914
500;3.467143;3.362013;3.444254;3.456156;3.372990;3.446659;3.460151;3.382512;3.449991;3.373643;3.448631;3.447467;3.351050;3.464077;3.451465;3.361351;3.434448;3.437917;3.378619;3.442900;3.431577;3.357624;3.449354;3.455659;3.349573;3.465290;3.472329;3.364224;3.435133;3.442826;3.370255;3.474021;3.387383;3.416242;3.457507;3.376119;3.446492;3.442590;3.368285;3.444455;3.432304;3.364558;3.443217;3.464434;3.378404;3.471766;3.452207;3.360580;3.449316;3.480113;3.422745
550;3.444100;3.547993;3.574092;3.460454;3.527792;3.505574;3.435254;3.535379;3.532197;3.465961;3.532017;3.551489;3.460120;3.555408;3.604236;3.435171;3.534129;3.549779;3.447175;3.557542;3.564230;3.441623;3.555374;3.538083;3.461693;3.498787;3.539261;3.457631;3.523176;3.517900;3.440210;3.537212;3.531380;3.368302;3.517387;3.556283;3.458454;3.532545;3.520191;3.450660;3.532289;3.537931;3.471830;3.501041;3.536441;3.433508;3.536837;3.522098;3.434500;3.544285;3.506340
600;3.524621;3.448651;3.525616;3.525222;3.459891;3.535110;3.529365;3.437281;3.506125;3.518660;3.432234;3.548275;3.530321;3.472726;3.516620;3.527484;3.422719;3.509241;3.524941;3.541262;3.433856;3.531915;3.465812;3.414454;3.528104;4.257594;4.277124;4.145170;3.774129;3.508483;3.407426;3.517787;3.535010;3.457049;3.544603;3.491172;3.444653;3.774198;3.546517;3.430928;3.583529;3.555654;3.386089;3.537989;3.555252;3.465672;3.551088;3.532235;3.444265;3.530641;3.553295
650;3.527365;3.483420;3.542787;3.545496;3.450220;3.561079;3.568535;3.470833;3.557993;3.546335;3.451284;3.556020;3.694790;3.448634;3.560654;3.546274;3.486080;3.478720;3.557777;3.533865;3.704046;3.538546;3.555386;3.461877;3.561429;3.559873;3.501290;3.579601;3.546147;3.452890;3.537050;3.571706;3.466185;3.561392;3.551062;3.415850;3.575517;3.563744;3.460107;3.571737;3.549101;3.461077;3.507120;3.549951;3.456909;3.564307;3.574427;3.464918;3.574512;3.527246;3.530663
700;3.476294;3.541757;3.577473;3.457472;3.585593;3.565303;3.528155;3.440719;3.573848;3.496020;3.523648;3.564475;3.591573;3.460744;3.558490;3.570353;3.425457;3.582660;3.560966;3.513769;3.579740;3.573815;3.472059;3.577440;3.561763;3.455522;3.563831;3.565916;3.465409;3.553987;3.589120;3.447384;3.589379;3.578581;3.459806;3.559509;3.568643;3.491046;3.562784;3.554086;3.485364;3.546251;3.566496;3.494232;3.463880;3.530796;3.527999;3.520339;3.569458;3.563631;3.532661
750;3.415122;3.493187;3.475930;3.434178;3.505524;3.451881;3.458466;3.481033;3.421334;3.478179;3.505278;3.460081;3.508252;3.503430;3.415973;3.525081;3.527499;3.383937;3.497221;3.504623;3.415427;3.466752;3.501707;3.419630;3.509427;3.501772;3.414124;3.494128;3.507358;3.413776;3.514611;3.505677;3.414102;3.510921;3.504418;3.418748;3.499974;3.449594;3.413834;3.496030;3.489837;3.405679;3.539586;3.508942;3.408086;3.490338;3.495245;3.385740;3.483597;3.493506;3.470375
800;3.372617;3.492542;3.454209;3.374337;3.500802;3.458533;3.375909;3.449536;3.459714;3.371780;3.488450;3.443967;3.377139;3.462763;3.466639;3.365676;3.481061;3.423514;3.439570;3.469519;3.387092;3.468129;3.457829;3.361875;3.459378;3.471196;3.372942;3.467021;3.459361;3.376107;3.462250;3.448886;3.380942;3.471963;3.458756;3.366074;3.477813;3.459140;3.377306;3.451462;3.459329;3.494643;3.459535;3.448002;3.368040;3.468330;3.472704;3.369971;3.481388;3.457838;3.436872
850;3.432876;3.549796;3.541720;3.507456;3.570911;3.569009;3.494924;3.585764;3.569869;3.485887;3.542264;3.560613;3.482652;3.564858;3.572880;3.459030;3.565157;3.559731;3.480006;3.529004;3.583862;3.464671;3.559167;3.555025;3.467933;3.537533;3.577194;3.473366;3.577362;3.563174;3.443712;3.572521;3.573441;3.432619;3.560743;3.583707;3.490553;3.547077;3.560626;3.512007;3.510116;3.526025;3.549149;3.484258;3.571775;3.552147;3.482568;3.569095;3.563234;3.465193;3.530685
