Anzahl von Prozessen;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
12;3.711058;3.788992;3.572075;3.708669;3.894949;3.739621;3.612025;3.724011;3.707487;3.563590;3.721395;3.736494;3.611701;3.660170;3.672161;3.558276;3.496528;3.712277;3.671611;3.612637;3.572470;3.599511;3.718529;3.693160;3.712688;3.582862;3.728378;3.736084;3.763054;3.582067;3.665994;3.572489;3.734543;3.752367;3.735030;3.508838;3.524580;3.726350;3.767660;3.579920;3.874539;3.650805;3.720204;3.564984;3.656134;3.783381;3.447598;3.677181;3.684924;3.637052;3.668582
14;3.687582;3.679216;3.751940;3.558843;3.598017;3.588140;3.615838;3.662996;3.616528;3.533533;3.545859;3.572547;3.648466;3.538678;3.707697;3.584172;3.706936;3.574267;3.578086;3.611108;3.784558;4.019349;3.608600;3.802008;3.564890;3.515277;3.643559;3.557111;3.597167;3.653077;3.597839;3.668130;3.660211;3.598707;3.670987;3.578514;3.637343;3.552421;3.550533;3.641024;3.693484;3.480853;3.722291;3.675418;3.669986;3.535882;3.564975;3.704536;3.572765;3.745632;3.632552
16;3.584286;3.438816;3.610725;3.601299;3.555969;3.693648;3.555368;3.540890;3.553815;3.597937;3.563411;3.526042;3.599488;3.478316;3.609310;3.816239;3.633241;3.416820;3.528419;3.598161;3.535588;3.628020;3.557696;3.529795;3.671958;3.602985;3.491553;3.828051;3.648676;3.556977;3.456780;3.539483;3.570766;3.509488;3.677484;3.572264;3.485408;3.691153;3.544897;3.455229;3.564872;3.524793;3.912684;4.344404;4.293737;4.132339;4.161789;4.529072;4.356932;4.315335;3.683848
18;4.368334;4.318421;4.264212;4.244988;4.310963;4.402528;4.364215;4.488587;4.882554;4.778282;4.589976;4.369973;4.233671;4.180139;4.272035;4.176326;4.172902;4.387119;4.102150;4.358583;4.199693;4.199820;4.255556;4.207632;4.226462;4.076846;4.014632;4.153741;4.105116;4.475582;4.231753;4.269811;4.304222;4.224642;4.201794;4.483771;4.183708;4.319014;4.258116;4.435764;4.282792;4.427730;4.148832;4.194338;4.052660;4.165821;4.767047;4.811340;4.654628;4.704809;4.326073
20;4.709476;4.732280;4.272175;4.088394;4.168469;4.037985;4.111486;4.124798;4.065821;4.073699;4.162515;4.123624;4.044884;4.166060;4.026169;4.091809;4.278215;4.148307;3.959260;4.045285;4.162359;4.067445;4.328649;4.014520;4.138592;4.116306;4.077418;3.998235;4.110012;4.021638;4.017933;4.087693;3.954193;4.071561;4.033895;4.216810;3.872212;3.539523;3.482710;3.433768;3.554897;3.504481;3.463158;3.593717;3.553301;3.515784;3.474105;3.548570;3.440897;3.476282;3.966028
22;3.563048;3.373060;3.515892;3.519127;3.403789;3.516544;3.486469;3.445605;3.486659;3.514001;3.358435;3.541669;3.492131;3.409564;3.509256;3.496888;3.423606;3.548158;3.536728;3.432199;3.514003;3.507903;3.427592;3.539983;3.500291;3.475621;3.545761;3.513878;3.493813;3.530514;3.535912;3.421885;3.484375;3.485421;3.450094;3.548461;3.541965;3.413456;3.502393;3.608982;3.402421;3.567787;3.466747;3.420623;3.486052;3.496624;3.449672;3.492970;3.464616;3.440012;3.486053
24;3.501874;3.515686;3.400324;3.563669;3.535249;3.418738;3.553175;3.466438;3.407253;3.515649;3.466324;3.388971;3.510162;3.459228;3.390184;3.529894;3.527935;3.442288;3.500197;3.473346;3.443212;3.541246;3.518007;3.451576;3.499912;3.513920;3.434541;3.555923;3.516674;3.433858;3.441640;3.553046;3.418863;3.532580;3.511242;3.424795;3.503115;3.511896;3.421818;3.489199;3.455494;3.436395;3.523217;3.598677;3.401805;3.496190;3.554248;3.450228;3.490298;3.527104;3.484346
26;3.403303;3.535948;3.543032;3.443421;3.572531;3.507590;3.398723;3.499647;3.477424;3.431188;3.476908;3.487550;3.405203;3.460757;3.504726;3.403631;3.506886;3.521017;3.387808;3.452700;3.474282;3.410184;3.523660;3.471744;3.388618;3.471691;3.492519;3.378350;3.486421;3.474878;3.414193;3.496184;3.487117;3.402473;3.481725;3.463016;3.426491;3.533107;3.410466;3.400664;3.492016;3.348403;3.530955;3.534060;3.380305;3.532161;3.553090;3.453503;3.487234;3.484709;3.466084
28;3.405909;3.488194;3.460524;3.374657;3.462956;3.472576;3.396988;3.501735;3.482877;3.418422;3.445235;3.478351;3.396371;3.494761;3.473318;3.446041;3.503037;3.524950;3.401766;3.488733;3.501504;3.413844;3.503225;3.472368;3.399675;3.488391;3.455970;3.414093;3.526253;3.458971;3.370036;3.480024;3.459602;3.410692;3.481712;3.497158;3.387467;3.500176;3.482844;3.404479;3.459717;3.462738;3.356892;3.536998;3.479236;3.428931;3.515403;3.469738;3.406559;3.481738;3.456477
30;3.471406;3.421600;3.448741;3.387336;3.460187;3.507089;3.434043;3.489340;3.441279;3.399053;3.465057;3.488445;3.364740;3.457155;3.469422;3.379640;3.516182;3.450336;3.365126;3.469799;3.455827;3.376045;3.589847;3.461688;3.479626;3.458281;3.452800;3.384263;3.481345;3.485724;3.566844;3.509390;3.476051;3.377296;3.873832;4.187543;4.113592;4.032400;3.527380;3.532569;3.379194;3.488389;3.473945;3.467318;3.497933;3.473866;3.421578;3.738832;3.475977;3.422754;3.510962
32;3.431494;3.486898;3.372243;3.468563;3.538186;3.466505;3.462188;3.447078;3.365992;3.481241;3.524385;3.364942;3.448689;3.472626;3.377864;3.439079;3.448627;3.358122;3.490986;3.452322;3.396766;3.464903;3.532870;3.442429;3.458500;3.426224;3.585064;3.448893;3.398208;3.456340;3.508249;3.394473;3.469691;3.467312;3.417549;3.460922;3.490047;3.417104;3.458361;3.488539;3.367196;3.478392;3.473227;3.408879;3.479542;3.500459;3.437154;3.519277;3.463218;3.396798;3.452092
34;3.466755;3.442412;3.344130;3.677004;3.439495;3.388468;3.467089;3.455504;3.365415;3.486246;3.492811;3.387073;3.479538;3.475381;3.378034;3.469029;3.470731;3.395559;3.455755;3.401983;3.440399;3.524417;3.371446;3.471431;3.517788;3.376641;3.460685;3.498798;3.342191;3.510500;3.503293;3.393202;3.496634;3.452663;3.349862;3.486262;3.489422;3.387872;3.479422;3.455502;3.399003;3.492251;3.485328;3.371255;3.478270;3.509415;3.371800;3.451403;3.488203;3.396209;3.447800
36;3.580634;3.484617;3.405719;3.494607;3.452829;3.421263;3.510670;3.465371;3.373560;3.450502;3.466777;3.422301;3.468129;3.415684;3.393940;3.433865;3.367924;3.462118;3.473141;3.397287;3.439154;3.468334;3.390038;3.516496;3.460176;3.377376;3.453666;3.456010;3.372101;3.463025;3.476085;3.367071;3.454508;3.475840;3.410043;3.443533;3.442909;3.395182;3.450792;3.501327;3.388445;3.482851;3.462299;3.383154;3.454654;3.454582;3.382590;3.458446;3.387482;3.448509;3.441152
38;3.467643;3.369356;3.461646;3.471762;3.392720;3.459872;3.461288;3.369877;3.456684;3.489660;3.361357;3.459365;3.527364;3.378259;3.456980;3.467727;3.424166;3.436926;3.466049;3.404981;3.469660;3.480943;3.394646;3.461018;3.502517;3.382738;3.449739;3.482390;3.396647;3.512847;3.470321;3.387168;3.504448;3.424070;3.386987;3.469839;3.410099;3.475637;3.455351;3.360589;3.481637;3.475726;3.372921;3.476576;3.466449;3.364350;3.450898;3.467855;3.398761;3.486303;3.442056
40;3.604153;3.380353;3.455554;3.446508;3.364284;3.445004;3.470084;3.387466;3.456975;3.458406;3.393993;3.457623;3.435639;3.402543;3.474605;3.454628;3.370653;3.461667;3.432289;3.393633;3.462048;3.375367;3.433889;3.473245;3.345406;3.442310;3.450554;3.377337;3.440404;3.423100;3.389614;3.452724;3.458732;3.356481;3.454548;3.476908;3.375087;3.441965;3.454734;3.427385;3.454039;3.463445;3.384948;3.475846;3.479354;3.366400;3.464918;3.393210;3.423726;3.466305;3.432602
42;3.399303;3.446187;3.431257;3.439784;3.478985;3.470153;3.364295;3.502365;3.447217;3.365822;3.436969;3.462009;3.396086;3.482053;3.435421;3.430048;3.503971;3.460660;3.337428;3.432460;3.477687;3.358114;3.450721;3.459184;3.368375;3.439949;3.425599;3.353795;3.443647;3.366885;3.450136;3.475359;3.491648;3.456574;3.428350;3.380346;3.450185;3.451979;3.375314;3.460795;3.435649;3.408554;3.445917;3.466381;3.385881;3.453053;3.452130;3.420926;3.464399;3.464502;3.433690
